Job,Tool,a,b,ns/op,memUsage
BenchmarkBedopsIntervalOverlap100_100-13                           ,Bedops,100,100,31498970,14681
BenchmarkBedopsIntervalOverlap100_100-13                           ,Bedops,100,100,29649559,14696
BenchmarkBedopsIntervalOverlap100_100-13                           ,Bedops,100,100,33132767,14707
 14706BenchmarkSingleThreadIntervalOverlap100_100-13                     ,Gonomics1Worker,100,100,21627207,14675
BenchmarkSingleThreadIntervalOverlap100_100-13                     ,Gonomics1Worker,100,100,22455588,14639
BenchmarkSingleThreadIntervalOverlap100_100-13                     ,Gonomics1Worker,100,100,20988165,14606
BenchmarkSingleThreadIntervalOverlap100_100-13                     ,Gonomics1Worker,100,100,22529975,14590
BenchmarkSingleThreadIntervalOverlap100_100-13                     ,Gonomics1Worker,100,100,21217464,14568
BenchmarkSingleThreadIntervalOverlap100_100-13                     ,Gonomics1Worker,100,100,21957423,14547
BenchmarkSingleThreadIntervalOverlap100_100-13                     ,Gonomics1Worker,100,100,20392329,14515
BenchmarkSingleThreadIntervalOverlap100_100-13                     ,Gonomics1Worker,100,100,21570740,14491
BenchmarkSingleThreadIntervalOverlap100_100-13                     ,Gonomics1Worker,100,100,21009251,14475
BenchmarkSingleThreadIntervalOverlap100_100-13                     ,Gonomics1Worker,100,100,21227613,14456
 14457BenchmarkGonomicsIntervalOverlap100_1k-13                          ,Gonomics8Worker,100,1000,21647383,14458
BenchmarkGonomicsIntervalOverlap100_1k-13                          ,Gonomics8Worker,100,1000,21764295,14462
BenchmarkGonomicsIntervalOverlap100_1k-13                          ,Gonomics8Worker,100,1000,21431413,14460
BenchmarkGonomicsIntervalOverlap100_1k-13                          ,Gonomics8Worker,100,1000,21668690,14463
BenchmarkGonomicsIntervalOverlap100_1k-13                          ,Gonomics8Worker,100,1000,20614980,14463
BenchmarkGonomicsIntervalOverlap100_1k-13                          ,Gonomics8Worker,100,1000,21501328,14465
BenchmarkGonomicsIntervalOverlap100_1k-13                          ,Gonomics8Worker,100,1000,21239480,14464
BenchmarkGonomicsIntervalOverlap100_1k-13                          ,Gonomics8Worker,100,1000,20822624,14468
BenchmarkGonomicsIntervalOverlap100_1k-13                          ,Gonomics8Worker,100,1000,21840167,14469
BenchmarkGonomicsIntervalOverlap100_1k-13                          ,Gonomics8Worker,100,1000,21084281,14474
 14473BenchmarkBedtoolsIntervalOverlap100_1k-13                          ,Bedtools,100,1000,16091343,14424
BenchmarkBedtoolsIntervalOverlap100_1k-13                          ,Bedtools,100,1000,18258527,14369
BenchmarkBedtoolsIntervalOverlap100_1k-13                          ,Bedtools,100,1000,17591734,14345
BenchmarkBedtoolsIntervalOverlap100_1k-13                          ,Bedtools,100,1000,16988590,14313
BenchmarkBedtoolsIntervalOverlap100_1k-13                          ,Bedtools,100,1000,16342927,14267
BenchmarkBedtoolsIntervalOverlap100_1k-13                          ,Bedtools,100,1000,18087242,14245
BenchmarkBedtoolsIntervalOverlap100_1k-13                          ,Bedtools,100,1000,16649804,14222
BenchmarkBedtoolsIntervalOverlap100_1k-13                          ,Bedtools,100,1000,16555249,14195
BenchmarkBedtoolsIntervalOverlap100_1k-13                          ,Bedtools,100,1000,17197934,14173
BenchmarkBedtoolsIntervalOverlap100_1k-13                          ,Bedtools,100,1000,16514062,14152
 14152BenchmarkBedopsIntervalOverlap100_1k-13                            ,Bedops,100,1000,34825531,14170
BenchmarkBedopsIntervalOverlap100_1k-13                            ,Bedops,100,1000,33930108,14180
BenchmarkBedopsIntervalOverlap100_1k-13                            ,Bedops,100,1000,33317632,14190
BenchmarkBedopsIntervalOverlap100_1k-13                            ,Bedops,100,1000,32964387,14200
BenchmarkBedopsIntervalOverlap100_1k-13                            ,Bedops,100,1000,33328636,14209
BenchmarkBedopsIntervalOverlap100_1k-13                            ,Bedops,100,1000,36966180,14219
BenchmarkBedopsIntervalOverlap100_1k-13                            ,Bedops,100,1000,34864354,14228
BenchmarkBedopsIntervalOverlap100_1k-13                            ,Bedops,100,1000,35954543,14236
