Job,Tool,a,b,ns/op
BenchmarkSingleThreadIntervalOverlap100_1k-13                      ,Gonomics1Worker,100,1000,22834362
 14163BenchmarkGonomicsIntervalOverlap100_10k-13                         ,Gonomics8Worker,100,10000,33647694
BenchmarkGonomicsIntervalOverlap100_10k-13                         ,Gonomics8Worker,100,10000,32478559
BenchmarkGonomicsIntervalOverlap100_10k-13                         ,Gonomics8Worker,100,10000,30172411
BenchmarkGonomicsIntervalOverlap100_10k-13                         ,Gonomics8Worker,100,10000,28691222
BenchmarkGonomicsIntervalOverlap100_10k-13                         ,Gonomics8Worker,100,10000,29607909
BenchmarkGonomicsIntervalOverlap100_10k-13                         ,Gonomics8Worker,100,10000,29529286
BenchmarkGonomicsIntervalOverlap100_10k-13                         ,Gonomics8Worker,100,10000,29536240
BenchmarkGonomicsIntervalOverlap100_10k-13                         ,Gonomics8Worker,100,10000,29253110
BenchmarkGonomicsIntervalOverlap100_10k-13                         ,Gonomics8Worker,100,10000,31283503
BenchmarkGonomicsIntervalOverlap100_10k-13                         ,Gonomics8Worker,100,10000,29480633
 14437BenchmarkBedtoolsIntervalOverlap100_10k-13                         ,Bedtools,100,10000,20472366
BenchmarkBedtoolsIntervalOverlap100_10k-13                         ,Bedtools,100,10000,20109121
BenchmarkBedtoolsIntervalOverlap100_10k-13                         ,Bedtools,100,10000,19896663
BenchmarkBedtoolsIntervalOverlap100_10k-13                         ,Bedtools,100,10000,25768125
BenchmarkBedtoolsIntervalOverlap100_10k-13                         ,Bedtools,100,10000,26382799
BenchmarkBedtoolsIntervalOverlap100_10k-13                         ,Bedtools,100,10000,25066749
BenchmarkBedtoolsIntervalOverlap100_10k-13                         ,Bedtools,100,10000,25144170
BenchmarkBedtoolsIntervalOverlap100_10k-13                         ,Bedtools,100,10000,25114098
BenchmarkBedtoolsIntervalOverlap100_10k-13                         ,Bedtools,100,10000,25176793
BenchmarkBedtoolsIntervalOverlap100_10k-13                         ,Bedtools,100,10000,26685973
 14251BenchmarkBedopsIntervalOverlap100_10k-13                           ,Bedops,100,10000,92161957
BenchmarkBedopsIntervalOverlap100_10k-13                           ,Bedops,100,10000,65267533
BenchmarkBedopsIntervalOverlap100_10k-13                           ,Bedops,100,10000,65789105
BenchmarkBedopsIntervalOverlap100_10k-13                           ,Bedops,100,10000,66743526
BenchmarkBedopsIntervalOverlap100_10k-13                           ,Bedops,100,10000,64936162
BenchmarkBedopsIntervalOverlap100_10k-13                           ,Bedops,100,10000,107732145
BenchmarkBedopsIntervalOverlap100_10k-13                           ,Bedops,100,10000,59864927
BenchmarkBedopsIntervalOverlap100_10k-13                           ,Bedops,100,10000,62945815
BenchmarkBedopsIntervalOverlap100_10k-13                           ,Bedops,100,10000,56604920
BenchmarkBedopsIntervalOverlap100_10k-13                           ,Bedops,100,10000,58217980
 14296BenchmarkSingleThreadIntervalOverlap100_10k-13                     ,Gonomics1Worker,100,10000,37739146
BenchmarkSingleThreadIntervalOverlap100_10k-13                     ,Gonomics1Worker,100,10000,36623142
BenchmarkSingleThreadIntervalOverlap100_10k-13                     ,Gonomics1Worker,100,10000,39242126
BenchmarkSingleThreadIntervalOverlap100_10k-13                     ,Gonomics1Worker,100,10000,37073598
BenchmarkSingleThreadIntervalOverlap100_10k-13                     ,Gonomics1Worker,100,10000,36925158
BenchmarkSingleThreadIntervalOverlap100_10k-13                     ,Gonomics1Worker,100,10000,35010098
BenchmarkSingleThreadIntervalOverlap100_10k-13                     ,Gonomics1Worker,100,10000,37325296
BenchmarkSingleThreadIntervalOverlap100_10k-13                     ,Gonomics1Worker,100,10000,34692473
BenchmarkSingleThreadIntervalOverlap100_10k-13                     ,Gonomics1Worker,100,10000,39262803
BenchmarkSingleThreadIntervalOverlap100_10k-13                     ,Gonomics1Worker,100,10000,38028291
 14315BenchmarkGonomicsIntervalOverlap100_100k-13                        ,Gonomics8Worker,100,100000,153717552
BenchmarkGonomicsIntervalOverlap100_100k-13                        ,Gonomics8Worker,100,100000,137846966
BenchmarkGonomicsIntervalOverlap100_100k-13                        ,Gonomics8Worker,100,100000,127339898
BenchmarkGonomicsIntervalOverlap100_100k-13                        ,Gonomics8Worker,100,100000,129832455
BenchmarkGonomicsIntervalOverlap100_100k-13                        ,Gonomics8Worker,100,100000,126793880
BenchmarkGonomicsIntervalOverlap100_100k-13                        ,Gonomics8Worker,100,100000,133166146
BenchmarkGonomicsIntervalOverlap100_100k-13                        ,Gonomics8Worker,100,100000,129152849
BenchmarkGonomicsIntervalOverlap100_100k-13                        ,Gonomics8Worker,100,100000,140637672
BenchmarkGonomicsIntervalOverlap100_100k-13                        ,Gonomics8Worker,100,100000,131915577
BenchmarkGonomicsIntervalOverlap100_100k-13                        ,Gonomics8Worker,100,100000,126022038
 14370BenchmarkBedtoolsIntervalOverlap100_100k-13                        ,Bedtools,100,100000,67161941
BenchmarkBedtoolsIntervalOverlap100_100k-13                        ,Bedtools,100,100000,57584715
BenchmarkBedtoolsIntervalOverlap100_100k-13                        ,Bedtools,100,100000,59903408
BenchmarkBedtoolsIntervalOverlap100_100k-13                        ,Bedtools,100,100000,59021223
BenchmarkBedtoolsIntervalOverlap100_100k-13                        ,Bedtools,100,100000,63675290
BenchmarkBedtoolsIntervalOverlap100_100k-13                        ,Bedtools,100,100000,63634467
BenchmarkBedtoolsIntervalOverlap100_100k-13                        ,Bedtools,100,100000,69880046
BenchmarkBedtoolsIntervalOverlap100_100k-13                        ,Bedtools,100,100000,75240427
BenchmarkBedtoolsIntervalOverlap100_100k-13                        ,Bedtools,100,100000,80818628
BenchmarkBedtoolsIntervalOverlap100_100k-13                        ,Bedtools,100,100000,72056631
 14318BenchmarkBedopsIntervalOverlap100_100k-13                          ,Bedops,100,100000,272656440
BenchmarkBedopsIntervalOverlap100_100k-13                          ,Bedops,100,100000,257952541
BenchmarkBedopsIntervalOverlap100_100k-13                          ,Bedops,100,100000,258308354
BenchmarkBedopsIntervalOverlap100_100k-13                          ,Bedops,100,100000,222776394
BenchmarkBedopsIntervalOverlap100_100k-13                          ,Bedops,100,100000,252805719
