Job,Tool,a,b,memUsage
BenchmarkBedopsSortBMem100_100-13                      ,BedopsSortB,100,100,11710
BenchmarkBedopsSortBMem100_100-13                      ,BedopsSortB,100,100,11702
BenchmarkBedopsSortBMem100_100-13                      ,BedopsSortB,100,100,11694
BenchmarkBedopsSortBMem100_100-13                      ,BedopsSortB,100,100,11687
 11691BenchmarkBedopsIntervalOverlapMem100_100-13            ,BedopsOverlap,100,100,11691
BenchmarkBedopsIntervalOverlapMem100_100-13            ,BedopsOverlap,100,100,11695
BenchmarkBedopsIntervalOverlapMem100_100-13            ,BedopsOverlap,100,100,11699
BenchmarkBedopsIntervalOverlapMem100_100-13            ,BedopsOverlap,100,100,11703
BenchmarkBedopsIntervalOverlapMem100_100-13            ,BedopsOverlap,100,100,11707
BenchmarkBedopsIntervalOverlapMem100_100-13            ,BedopsOverlap,100,100,11711
BenchmarkBedopsIntervalOverlapMem100_100-13            ,BedopsOverlap,100,100,11715
BenchmarkBedopsIntervalOverlapMem100_100-13            ,BedopsOverlap,100,100,11719
BenchmarkBedopsIntervalOverlapMem100_100-13            ,BedopsOverlap,100,100,11723
BenchmarkBedopsIntervalOverlapMem100_100-13            ,BedopsOverlap,100,100,11727
 11735BenchmarkGonomicsIntervalOverlapMem100_10mi-13         ,Gonomics4Worker,100,10000000,11735
BenchmarkGonomicsIntervalOverlapMem100_10mi-13         ,Gonomics4Worker,100,10000000,11744
BenchmarkGonomicsIntervalOverlapMem100_10mi-13         ,Gonomics4Worker,100,10000000,11753
BenchmarkGonomicsIntervalOverlapMem100_10mi-13         ,Gonomics4Worker,100,10000000,11759
BenchmarkGonomicsIntervalOverlapMem100_10mi-13         ,Gonomics4Worker,100,10000000,11768
BenchmarkGonomicsIntervalOverlapMem100_10mi-13         ,Gonomics4Worker,100,10000000,11775
BenchmarkGonomicsIntervalOverlapMem100_10mi-13         ,Gonomics4Worker,100,10000000,11781
BenchmarkGonomicsIntervalOverlapMem100_10mi-13         ,Gonomics4Worker,100,10000000,11787
BenchmarkGonomicsIntervalOverlapMem100_10mi-13         ,Gonomics4Worker,100,10000000,11796
